,full_train,train_val,AL_subset,random_subset,top_900,mixed_top_50,mean_sample_accuracy,number_good_subsets,pvalue_less,pvalue_greater,dataset
107,0.8587,0.8548888888888889,0.849,0.8415679111111113,0.8623333333333333,0.7843333333333333,0.8502943333333333,1000,3.0910784420670645e-87,1.0,107
400,0.859,0.8581111111111112,0.8686,0.8464457555555555,0.8667777777777778,0.813,0.8588276666666668,1000,0.9999990176133934,9.823866066368873e-07,400
342,0.8591,0.8632222222222222,0.8585,0.8505561777777777,0.8622222222222222,0.7596666666666667,0.8558171111111111,1000,1.6286443308660444e-281,1.0,342
99,0.8596,0.8537777777777777,0.8805,0.8455881,0.8801111111111111,0.7002222222222222,0.868887,1000,1.0,0.0,99
66,0.8602,0.8645555555555555,0.8549,0.843543511111111,0.8717777777777778,0.8415555555555555,0.862150888888889,1000,2.471581000813433e-51,1.0,66
495,0.8608,0.8648888888888889,0.8473,0.8505396777777778,0.8821111111111111,0.7846666666666666,0.8685996666666667,1000,1.0,4.383715057320181e-45,495
357,0.8616,0.8848888888888888,0.9107,0.8476655222222221,0.9114444444444444,0.863,0.8995246666666666,1000,1.0,6.714763698694339e-301,357
448,0.8639,0.8715555555555555,0.8657,0.8527281888888889,0.8675555555555555,0.8186666666666667,0.8613708888888889,1000,0.0,1.0,448
62,0.8641,0.8714444444444445,0.88,0.8588059888888889,0.8972222222222223,0.8146666666666667,0.8890843333333333,1000,1.0,0.0,62
189,0.8642,0.8698888888888889,0.8662,0.8536550333333333,0.8735555555555555,0.7572222222222222,0.8656130000000001,1000,6.170804252824678e-122,1.0,189
17,0.8649,0.8688888888888889,0.8599,0.8510637555555557,0.8664444444444445,0.7754444444444445,0.857796,1000,0.0,1.0,17
297,0.8655,0.8661111111111112,0.8712,0.8497746111111112,0.8707777777777778,0.781,0.8616628888888889,1000,1.3730313326214095e-168,1.0,297
214,0.8657,0.8707777777777778,0.8593,0.8550095666666668,0.8891111111111111,0.8381111111111111,0.8769446666666666,1000,1.0,3.014672851105879e-147,214
292,0.8659,0.8643333333333333,0.8583,0.8543802555555556,0.8734444444444445,0.8166666666666667,0.8650934444444445,1000,0.9999994438201939,5.561798061201941e-07,292
30,0.8661,0.8677777777777778,0.8641,0.8499414111111111,0.8673333333333333,0.7735555555555556,0.8564155555555556,1000,0.0,1.0,30
436,0.8668,0.8772222222222222,0.8619,0.8571936777777777,0.8774444444444445,0.7784444444444445,0.8676156666666666,1000,0.0,1.0,436
313,0.8669,0.8652222222222222,0.8617,0.8534161666666666,0.8675555555555555,0.748,0.8587505555555556,1000,6.040430816391478e-261,1.0,313
485,0.8677,0.8823333333333333,0.8976,0.8606294666666666,0.9111111111111111,0.806,0.897652888888889,1000,1.0,0.0,485
301,0.8685,0.8711111111111111,0.8671,0.8540211666666666,0.8726666666666667,0.7996666666666666,0.8635592222222221,1000,5.0185292302932765e-255,1.0,301
232,0.8694,0.872,0.8615,0.8526287333333333,0.8693333333333333,0.7681111111111111,0.8614402222222223,1000,0.0,1.0,232
371,0.8702,0.8673333333333333,0.8622,0.8530868999999999,0.8895555555555555,0.7743333333333333,0.8792936666666666,1000,1.0,0.0,371
118,0.8703,0.8791111111111111,0.87,0.8654920111111111,0.8773333333333333,0.8138888888888889,0.8698041111111111,1000,0.0,1.0,118
138,0.8703,0.8682222222222222,0.8615,0.8523957111111111,0.8687777777777778,0.8102222222222222,0.8607451111111111,1000,9.498979582454357e-250,1.0,138
345,0.8708,0.8771111111111111,0.8539,0.8596933666666666,0.9086666666666666,0.8823333333333333,0.8989865555555556,1000,1.0,0.0,345
186,0.8712,0.8748888888888889,0.8618,0.8507139555555555,0.8817777777777778,0.8005555555555556,0.8671613333333332,1000,1.0996370174378725e-201,1.0,186
498,0.8717,0.876,0.8692,0.8613943666666666,0.8777777777777778,0.7287777777777777,0.8674680000000001,1000,9.245778285053068e-286,1.0,498
488,0.8718,0.8752222222222222,0.8737,0.8599891333333333,0.8917777777777778,0.8535555555555555,0.8795373333333333,1000,1.0,1.8243726354900577e-100,488
328,0.8722,0.877,0.8748,0.862036688888889,0.8826666666666667,0.7836666666666666,0.8696638888888889,1000,2.321629930979292e-255,1.0,328
285,0.8731,0.8734444444444445,0.8747,0.8626324444444444,0.8774444444444445,0.8127777777777778,0.868044888888889,1000,9.653199719937137e-183,1.0,285
